game_id,avg_temp,rain_sum,wind_speed_avg,snowfall_sum,is_indoor,rain_any,snow_any
380,74.3,0.0,16.6,0.0,False,False,False
381,55.22,0.0,16.1,0.0,False,False,False
382,58.1,0.0,4.7,0.0,False,False,False
383,56.120000000000005,0.0,8.0,0.0,False,False,False
384,54.68,0.0,13.9,0.0,True,False,False
385,45.14,0.7,11.1,0.0,False,True,False
386,43.52,0.0,10.1,0.0,True,False,False
387,51.44,0.0,10.3,0.0,False,False,False
388,51.620000000000005,0.0,10.3,0.0,False,False,False
389,44.24,0.2,11.2,0.0,True,True,False
390,64.75999999999999,0.0,9.2,0.0,True,False,False
391,49.1,0.2,13.6,0.0,True,True,False
392,66.92,0.0,9.6,0.0,False,False,False
393,46.22,0.1,12.1,0.0,False,True,False
394,46.94,0.0,13.6,0.0,True,False,False
395,61.88,0.0,7.8,0.0,False,False,False
396,46.4,0.0,8.7,0.0,False,False,False
397,43.52,7.6,19.9,0.0,False,True,False
398,44.78,1.3,14.7,0.0,False,True,False
399,48.92,0.0,11.0,0.0,False,False,False
400,62.6,0.0,19.8,0.0,False,False,False
401,72.32,0.0,13.2,0.0,False,False,False
402,68.9,0.2,11.0,0.0,True,True,False
403,39.38,3.3,6.5,0.0,False,True,False
404,41.72,0.0,6.8,0.0,False,False,False
405,45.14,0.0,5.9,0.0,False,False,False
406,41.18,0.0,9.3,0.0,False,False,False
407,58.1,14.7,8.2,0.0,False,True,False
408,37.76,0.0,10.0,0.0,True,False,False
409,67.28,0.0,3.4,0.0,True,False,False
410,63.32,1.4,6.7,0.0,False,True,False
411,44.96,2.0,15.0,0.0,False,True,False
412,56.66,0.0,7.6,0.0,True,False,False
413,42.8,0.0,7.6,0.0,False,False,False
414,36.14,0.5,17.8,0.0,True,True,False
415,33.8,0.0,12.0,0.0,False,False,False
416,40.64,0.0,10.3,0.0,True,False,False
417,33.98,1.5,14.0,0.28,True,True,True
418,41.9,2.5,13.3,0.0,False,True,False
419,59.540000000000006,0.0,6.3,0.0,False,False,False
420,44.06,0.7,14.5,0.0,False,True,False
421,69.08,62.6,9.2,0.0,True,True,False
422,40.1,0.1,10.1,0.0,True,True,False
423,66.74000000000001,0.0,8.8,0.0,False,False,False
424,55.4,0.0,5.3,0.0,False,False,False
425,44.06,0.6,9.7,0.0,False,True,False
426,36.14,0.0,11.9,0.0,False,False,False
427,44.42,0.0,10.5,0.0,False,False,False
428,36.14,12.5,27.0,0.98,True,True,True
429,44.06,0.1,22.0,0.0,False,True,False
430,43.88,0.0,18.6,0.0,True,False,False
431,36.14,0.4,5.6,0.0,False,True,False
432,35.42,0.0,15.6,0.0,False,False,False
433,34.88,0.0,7.0,0.0,False,False,False
434,33.26,2.2,5.8,0.0,True,True,False
435,36.68,0.0,8.9,0.0,True,False,False
436,72.86,0.3,9.2,0.0,False,True,False
437,45.14,0.0,6.2,0.0,False,False,False
438,68.18,6.3,9.7,0.0,False,True,False
439,56.3,0.0,8.1,0.0,True,False,False
440,34.34,0.4,17.2,0.7,False,True,True
441,57.92,0.0,8.1,0.0,False,False,False
442,39.74,9.5,10.4,0.0,False,True,False
443,43.7,8.7,16.4,0.0,False,True,False
444,53.96,0.0,8.7,0.0,False,False,False
445,55.58,4.1,20.1,0.0,False,True,False
446,47.120000000000005,20.1,22.1,0.0,True,True,False
447,48.56,3.6,24.0,0.0,False,True,False
448,54.5,8.9,21.9,0.0,True,True,False
449,75.92,0.0,10.9,0.0,False,False,False
450,22.82,0.2,15.0,6.37,True,True,True
451,32.54,3.2,8.0,0.42,False,True,True
452,38.48,2.8,10.5,0.0,False,True,False
453,45.32,0.0,7.2,0.0,False,False,False
454,49.1,0.0,13.8,0.0,False,False,False
455,51.44,0.0,7.1,0.0,True,False,False
456,41.54,14.4,23.7,0.0,False,True,False
457,70.88,1.4,16.4,0.0,True,True,False
458,40.46,14.4,25.0,0.91,False,True,True
459,35.24,0.0,31.8,0.0,False,False,False
460,26.6,0.5,8.9,0.14,False,True,True
461,29.12,0.1,5.5,1.19,False,True,True
462,41.54,8.9,8.0,0.0,False,True,False
463,28.76,2.9,10.5,0.35,True,True,True
464,14.720000000000002,0.0,6.8,0.63,False,False,True
465,63.32,4.2,11.8,0.0,False,True,False
466,35.06,1.3,6.3,0.0,False,True,False
467,65.84,0.0,8.3,0.0,False,False,False
468,72.86,1.2,16.2,0.0,True,True,False
469,47.48,0.0,7.3,0.0,False,False,False
470,33.62,0.1,4.7,0.14,False,True,True
471,16.520000000000003,0.0,5.8,3.15,False,False,True
472,30.38,0.0,7.1,0.0,False,False,False
473,32.72,0.0,4.7,0.0,True,False,False
474,43.16,5.4,5.8,0.0,False,True,False
475,62.96,0.0,7.9,0.0,True,False,False
476,60.26,0.0,11.0,0.0,True,False,False
477,49.1,0.0,6.8,0.0,False,False,False
478,33.44,14.8,25.0,7.0,False,True,True
479,22.64,0.0,11.5,0.63,False,False,True
480,26.24,0.0,18.3,3.08,True,False,True
481,76.28,7.4,22.4,0.0,False,True,False
482,26.96,8.8,15.4,12.53,False,True,True
483,49.64,0.0,28.1,0.0,True,False,False
484,33.62,13.5,20.2,1.4,False,True,True
485,69.08,30.0,26.4,0.0,False,True,False
486,43.16,18.8,16.3,0.0,False,True,False
487,48.38,0.0,6.8,0.0,False,False,False
488,37.22,0.0,12.5,0.0,False,False,False
489,52.16,0.0,9.2,0.0,False,False,False
490,28.22,0.0,27.3,0.0,True,False,False
491,21.56,0.0,9.1,0.0,True,False,False
492,44.78,0.1,7.6,0.0,True,True,False
493,53.96,7.4,17.6,0.0,False,True,False
